	SRR7217923	SRR7217925	SRR7217927	SRR7217929
thrL	0	0	0	0
thrA	22	28	28	32
thrB	34	33	89	67
thrC	108	84	153	143
yaaX	2	1	0	0
yaaA	37	28	30	36
yaaJ	9	12	54	48
talB	1154	1064	1461	1672
mog	40	37	51	63
satP	3	8	8	7
yaaW	0	0.5	0	0
mbiA	0	0.5	0	0
yaaI	0	0	0	0
dnaK	598	570	567	569
dnaJ	74	90	82	71
insL-1	0	0	0	0
mokC	0	2	0	0
hokC	0	0	0	0
sokC	0	0	0	0
nhaA	105	84	89	94
nhaR	19	23	26	22
insB-1	0	0	0	0
insA-1	0	0	0	0
rpsT	127	121	51	44
yaaY	0	0	0	0
ribF	146	121	134	131
ileS	565	596	401	470
lspA	37	28	25	30
fkpB	15	9	12	12
ispH	61	69	45	40
rihC	198	149	287	358
dapB	39	38	59	55
carA	18	22	9	9
carB	63	86	45	62
caiF	3	3	5	9
caiE	0	1	0	0
caiD	0	0	1	1
caiC	6	11	4	8
caiB	4	3	8	3
caiA	6	12	12	11
caiT	0	0	0	2
fixA	1	1	0	0
fixB	0	0	0	1
fixC	0	0	1	0
fixX	0	0	0	0
yaaU	0	2	0	1
kefF	2	2	0	4
kefC	12	15	10	12
folA	30	35	16	13
apaH	43	33	33	31
apaG	9	4	4	6
rsmA	106	74	77	89
pdxA	73	61	72	52
surA	271	297	217	213
lptD	457	380	344	345
djlA	51	26	40	34
yabP	8	6	5	2
yabQ	0	0	0	0
rluA	17	22	10	13
rapA	152	188	72	91
polB	23	25	43	40
araD	0	2	2	2
araA	7	8	17	14
araB	2	2	10	4
araC	3	11	14	20
yabI	8	6	12	8
thiQ	2	1	1	2
thiP	6	7	4	2
thiB	24	14	14	13
sgrR	20	20	23	10
sgrS	1	1	1	4
sgrT	0	0	0	0
setA	13	1	11	10
leuD	4	1	4	0
leuC	6	2	5	7
leuB	4	4	4	5
leuA	5	2	6	3
leuL	0	0	0	0
leuO	0	3	7	7
yabR	0	0	0	0
ilvI	5	8	12	8
ilvH	3	0	1	0
cra	185	157	296	365
mraZ	12	25	21	23
rsmH	67	58	79	63
ftsL	4	3	3	6
ftsI	70	50	72	75
murE	98	108	113	115
murF	61	61	66	66
mraY	31	40	41	52
murD	86	73	112	97
ftsW	47	45	40	36
murG	60	63	88	116
murC	144	154	194	197
ddlB	78	77	92	95
ftsQ	46	56	71	61
ftsA	89	63	108	90
ftsZ	329	340	473	463
lpxC	903	828	799	680
secM	41	18	45	34
secA	601	547	408	431
mutT	2	4	5	1
yacG	0	0	1	0
zapD	48	23	26	25
coaE	15	8	8	12
yacM	0	0	0	0
guaC	70	74	65	53
hofC	2	6	2	1
hofB	3	5	5	10
ppdD	0	0	1	0
nadC	33	32	54	64
ampD	23	19	26	36
ampE	49	44	99	83
aroP	15	21	19	21
pdhR	226	139	77	76
aceE	3616	4576	2190	2251
aceF	2239	3258	1744	1808
lpd	1706	2006	1186	1246
yacH	5	3	5	8
acnB	1964	1970	1542	1632
yacL	3	8	9	20
speD	124	146	67	72
speE	121	119	75	71
yacC	12	4	11	7
cueO	56	57	71	65
gcd	84	117	23	18
hpt	63	60	46	50
can	108	80	50	45
yadG	32	53	50	33
yadH	33	31	25	44
yadI	1	6	11	18
yadE	15	10	14	14
panD	31	17	20	23
rpnC	2	0	0	2
panC	132	122	146	180
panB	120	111	165	164
yadC	0	2	1	1
yadK	0	0	0	0
yadL	0	0	1	0
yadM	0	1	0	0
htrE	0	2	1	1
yadV	0	0	0	0
yadN	0	0	0	0
folK	6	4	2	3
pcnB	317	233	166	122
gluQ	16	9	8	11
dksA	130	90	146	161
sfsA	20	40	82	71
thpR	8	7	5	13
hrpB	47	55	60	61
mrcB	97	112	76	81
fhuA	61	73	20	35
fhuC	9	11	2	5
fhuD	4	8	4	2
fhuB	16	12	5	7
hemL	136	128	132	147
clcA	44	33	60	47
yadW	0	0	0	0
erpA	14	12	7	6
yadS	11	5	4	3
btuF	9	6	9	10
mtn	123	108	123	142
dgt	40	26	46	46
degP	123	77	88	110
cdaR	20	28	38	60
yaeH	34	32	67	83
yaeI	1	4	6	6
dapD	214	164	272	268
glnD	56	44	52	63
map	205	195	131	132
tff	4	5	2	1
rpsB	1397	1453	950	997
tsf	1243	1358	992	930
pyrH	98	93	62	59
frr	222	223	198	209
dxr	21	31	27	22
ispU	94	68	72	75
cdsA	93	82	68	68
rseP	161	121	116	114
bamA	616	616	452	534
skp	144	138	154	156
lpxD	292	298	244	245
fabZ	72	56	52	43
lpxA	218	223	180	156
lpxB	109	98	91	78
rnhB	34	26	16	16
dnaE	248	192	143	126
accA	303	282	205	176
ldcC	39	31	45	56
